Gender,Promotion Method,Number of records
Female,Website/App,18
Female,Social Media,51
Female,Email,10
Female,Deal Site,4
Female,In-store display,10
Female,Friend,29
Female,Billboard,7
Male,Website/App,4
Male,Social Media,17
Male,Email,3
Male,Deal Site,11
Male,In-store display,0
Male,Friends,8
Male,Billboard,20
